900046192;Морозов М.М.;Головино п., Улица не указана, Школьная, 0;0;0
900225842;Петров П.П.;Киржач г., Луговая ул, Дом не указан, Квартира не указана;519;127.08
900225885;Новиков Н.Н.;Вязники г., Первомайская наб, 34, 54;519;0
900225927;Михайлов М.М.;Лемешки с., Улица не указана, Мира, 0;0;0
900225959;Михайлов М.М.;Семьинское с., Свободы пл, 144, 50;519;421.66;3300000001 ХВС;0
900225974;Фёдоров Ф.Ф.;Лакинск г., Школьная ул, 2, 70;519;0
900225987;данные отсутствуют;Покров г., Заречная ул, 53, 0;519;221.47
900225993;Сидоров С.С.;Ковров г., Ленина ул, Дом не указан, Квартира не указана;519;109.23
900226067;Семёнов С.С.;Юрьевец п., Пушкина пер, 118, 33;519;0
900226097;Алексеев А.А.;Сокол п., Улица не указана, Советская, 0;0;0
900226110;Морозов М.М.;Покров г., Победы тер, 100А, 13;519;330.73;3300000001 ХВС;0
900226141;Сидоров С.С.;Владимир г., Улица не указана, Луговая, 0;0;0
900226171;данные отсутствуют;Киржач г., Комсомольская б-р, 63, 0;519;343.71
900226190;Иванов И.И.;Новоселка д., Победы пер, Дом не указан, Квартира не указана;519;427.49
900226226;Алексеев А.А.;Головино п., Улица не указана, Полевая, 0;0;0
900226242;Волков В.В.;Суздаль г., Первомайская наб, 22А, 123;519;233.43;3300000001 ХВС;0
900226244;Новиков Н.Н.;Телегино д., Новая пл, 134, 117;519;0
900226258;Алексеев А.А.;Муром г., Улица не указана, Пионерская, 0;0;0
900226269;данные отсутствуют;Головино п., Строительная мкр, 43, 0;519;394.23
900226274;данные отсутствуют;Гусь-Хрустальный г., Октябрьская тер, 62, 0;519;134.50
900226301;Егоров Е.Е.;Боголюбово п., Лесная шоссе, 141, 110;519;0
900226317;Фёдоров Ф.Ф.;Гусь-Хрустальный г., Садовая пер, 100, 17;519;0
900226327;Сидоров С.С.;Собинка г., Улица не указана, Пионерская, 0;0;0
900226392;Алексеев А.А.;Беречино д., Советская пер, Дом не указан, Квартира не указана;519;504.28
900226432;Смирнов В.В.;Юрьевец п., Центральная б-р, Дом не указан, Квартира не указана;519;232.78
900226452;данные отсутствуют;Ставрово п., Строительная пл, 67, 0;519;227.81
900226456;Алексеев А.А.;Сокол п., Победы пер, 61, 23;519;0
900226461;Фёдоров Ф.Ф.;Лемешки с., Мира б-р, Дом не указан, Квартира не указана;519;303.80
900226469;Петров П.П.;Владимир г., Полевая наб, 21, 44;519;518.29;3300000001 ХВС;0
900226477;Егоров Е.Е.;Киржач г., Садовая пр-кт, 33, 103;519;500.14;3300000001 ХВС;0
900226479;Новиков Н.Н.;Ставрово п., Комсомольская шоссе, 143, 112;519;0
900226510;данные отсутствуют;Владимир г., Молодежная пр-кт, 48, 0;519;174.59
900226565;данные отсутствуют;Лакинск г., Мира пр-кт, 111, 0;519;140.86
900226610;Алексеев А.А.;Семьинское с., Улица не указана, Свободы, 0;0;0
900226620;Морозов М.М.;Красная Горбатка п., Улица не указана, Первомайская, 0;0;0
900226671;Михайлов М.М.;Владимир г., Первомайская пл, Дом не указан, Квартира не указана;519;518.05
900226701;Петров П.П.;Александров г., Заречная пер, 13, 72;519;0
900226710;Михайлов М.М.;Беречино д., Строительная мкр, 23, 83;519;147.61;3300000001 ХВС;0
900226740;Волков В.В.;Телегино д., Улица не указана, Победы, 0;0;0
900226770;Волков В.В.;Гусь-Хрустальный г., Первомайская б-р, Дом не указан, Квартира не указана;519;79.24
900226805;Егоров Е.Е.;Красная Горбатка п., Заречная мкр, 59, 79;519;473.19;3300000001 ХВС;0
900226810;Михайлов М.М.;Новоселка д., Молодежная наб, 120, 12;519;215.15;3300000001 ХВС;0
900226817;данные отсутствуют;Владимир г., Полевая пл, 137, 0;519;194.16
900226861;Новиков Н.Н.;Кольчугино г., Строительная пр-кт, 25, 83;519;0
900226892;Сидоров С.С.;Ставрово п., Молодежная шоссе, 122, 111;519;484.00;3300000001 ХВС;0
900226922;данные отсутствуют;Муром г., Полевая пер, 94, 0;519;398.19
900227053;Алексеев А.А.;Муром г., Строительная б-р, Дом не указан, Квартира не указана;519;244.65
900227063;Михайлов М.М.;Ставрово п., Первомайская тер, Дом не указан, Квартира не указана;519;542.81
900227067;Фёдоров Ф.Ф.;Боголюбово п., Первомайская ул, 66А, 87;519;0
900227072;Иванов И.И.;Новоселка д., Улица не указана, Луговая, 0;0;0
900227075;Смирнов В.В.;Кольчугино г., Молодежная наб, 135А, 93;519;539.71;3300000001 ХВС;0
900227077;Егоров Е.Е.;Ковров г., Улица не указана, Комсомольская, 0;0;0
900227109;данные отсутствуют;Новоселка д., Мира ул, 19, 0;519;547.68
900227177;Морозов М.М.;Беречино д., Гагарина мкр, 110, 66;519;0
900227178;Волков В.В.;Ставрово п., Гагарина пл, 130, 65;519;203.62;3300000001 ХВС;0
900227215;Алексеев А.А.;Ковров г., Центральная пер, 29, 69;519;125.12;3300000001 ХВС;0
900227219;Новиков Н.Н.;Камешково г., Заречная тер, 132, 53;519;0
900227227;Петров П.П.;Александров г., Улица не указана, Центральная, 0;0;0
900227237;данные отсутствуют;Гусь-Хрустальный г., Победы тер, 99, 0;519;507.70
900227245;Алексеев А.А.;Боголюбово п., Улица не указана, Школьная, 0;0;0
900227246;Васильев Е.Е.;Семьинское с., Мира пер, Дом не указан, Квартира не указана;519;118.42
900227255;Алексеев А.А.;Телегино д., Колхозная тер, Дом не указан, Квартира не указана;519;281.01
900227264;Кузнецов А.А.;Красная Горбатка п., Центральная тер, 83, 16;519;546.00;3300000001 ХВС;0
900227306;Морозов М.М.;Вязники г., Лесная шоссе, 106, 134;519;233.44;3300000001 ХВС;0
900227318;Петров П.П.;Покров г., Новая б-р, Дом не указан, Квартира не указана;519;246.94
900227323;Попов Д.Д.;Телегино д., Советская б-р, 95, 139;519;0
